Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Palmitic Acid (C₁₆H₃₂O₂),35,34,Carbon Steel (coated),16,High,"Lab Coat, Chemical Suit",Underground Storage,Toxic Gas Release,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),57,45,Fiber-Reinforced Plastic (FRP),29,Poor,"Chemical Suit, Safety Goggles, Chemical-resistant Gloves, Gloves, Eye Wash Station Access",Laboratory,Explosion Risk,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),107,40,Glass,76,Industrial Ventilation System,"Face Shield, Chemical Suit, Safety Boots, Respirator Mask, Full Body Protective Suit",Factory Floor,Container Leakage,HIGH RISK
Succinic Acid (C₄H₆O₄),279,107,Borosilicate Glass,126,Good,Safety Goggles,Factory Floor,Acid Spill,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),83,65,Polypropylene,30,Industrial Ventilation System,"Eye Wash Station Access, Chemical-resistant Gloves, Safety Goggles, Lab Coat, Gloves",Hazardous Material Room,Corrosion Damage,HIGH RISK
Salicylic Acid (C₇H₆O₃),200,77,PVC (Polyvinyl Chloride),173,Poor,Gloves,Outdoor Storage,Acid Burn,CRITICAL RISK
Arsenic Acid (H₃AsO₄),3,29,PTFE (Teflon-lined),5,Moderate,"Safety Goggles, Chemical-resistant Gloves, Gloves, Lab Coat",Underground Storage,Toxic Gas Release,LOW RISK
Iodic Acid (HIO₃),321,105,Polypropylene,187,Low,Chemical-resistant Gloves,Factory Floor,None,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),60,39,Fiber-Reinforced Plastic (FRP),40,Good,"Respirator Mask, Face Shield, Safety Goggles, Eye Wash Station Access",Hazardous Material Room,Corrosion Damage,MEDIUM RISK
Bromic Acid (HBrO₃),202,117,Glass,198,Low,"Chemical-resistant Gloves, Chemical Suit",Chemical Storage Room,None,CRITICAL RISK
Succinic Acid (C₄H₆O₄),21,37,Fiber-Reinforced Plastic (FRP),33,Poor,"Chemical Suit, Lab Coat",Underground Storage,None,MEDIUM RISK
Chromic Acid (H₂CrO₄),15,22,Glass,9,Moderate,"Full Body Protective Suit, Chemical-resistant Gloves",Factory Floor,Container Leakage,LOW RISK
Hydrochloric Acid (HCl),60,44,Ceramic Containers,37,Industrial Ventilation System,"Lab Coat, Chemical Suit, Face Shield",Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Carbonic Acid (H₂CO₃),11,40,Borosilicate Glass,29,Moderate,Safety Boots,Warehouse,Toxic Gas Release,MEDIUM RISK
Periodic Acid (HIO₄),14,29,Fiber-Reinforced Plastic (FRP),15,Good,Safety Goggles,Chemical Storage Room,Toxic Gas Release,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),34,34,HDPE Plastic,30,High,"Eye Wash Station Access, Safety Boots, Full Body Protective Suit",Chemical Storage Room,Toxic Gas Release,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),204,92,Polypropylene,198,Moderate,"Lab Coat, Face Shield, Chemical-resistant Gloves, Safety Boots",Laboratory,Acid Spill,CRITICAL RISK
Succinic Acid (C₄H₆O₄),38,36,HDPE Plastic,38,Moderate,"Full Body Protective Suit, Lab Coat",Outdoor Storage,None,MEDIUM RISK
Hypochlorous Acid (HClO),342,115,Ceramic Containers,120,Fume Hood Ventilation,"Face Shield, Respirator Mask, Safety Goggles, Chemical Suit, Chemical-resistant Gloves",Cold Storage Unit,Acid Burn,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),122,84,PVC (Polyvinyl Chloride),230,Low,"Full Body Protective Suit, Chemical Suit, Eye Wash Station Access, Lab Coat",Underground Storage,Container Leakage,CRITICAL RISK
Carbonic Acid (H₂CO₃),304,98,Ceramic Containers,207,Good,"Safety Boots, Respirator Mask, Eye Wash Station Access",Warehouse,Acid Spill,CRITICAL RISK
Bromic Acid (HBrO₃),139,57,Carbon Steel (coated),87,Good,Gloves,Cold Storage Unit,Corrosion Damage,HIGH RISK
Benzoic Acid (C₇H₆O₂),63,40,HDPE Plastic,44,Fume Hood Ventilation,"Chemical Suit, Gloves",Laboratory,Fire Hazard,HIGH RISK
Methacrylic Acid (C₄H₆O₂),246,91,Fiber-Reinforced Plastic (FRP),166,Low,"Safety Boots, Face Shield, Chemical Suit",Hazardous Material Room,Fire Hazard,CRITICAL RISK
Benzoic Acid (C₇H₆O₂),55,38,PTFE (Teflon-lined),38,Fume Hood Ventilation,"Chemical Suit, Chemical-resistant Gloves, Gloves, Face Shield",Chemical Storage Room,Fire Hazard,MEDIUM RISK
Selenic Acid (H₂SeO₄),25,41,Borosilicate Glass,12,Industrial Ventilation System,"Safety Goggles, Safety Boots, Full Body Protective Suit, Chemical Suit, Respirator Mask",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Bromic Acid (HBrO₃),476,116,Polypropylene,91,Fume Hood Ventilation,Chemical-resistant Gloves,Outdoor Storage,Acid Burn,CRITICAL RISK
Hydrofluoric Acid (HF),107,43,PTFE (Teflon-lined),41,Moderate,"Lab Coat, Safety Boots, Gloves, Chemical-resistant Gloves, Chemical Suit",Laboratory,Corrosion Damage,HIGH RISK
Sulfamic Acid (H₃NSO₃),33,32,HDPE Plastic,22,Low,"Lab Coat, Gloves",Underground Storage,Explosion Risk,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),61,40,Glass,39,Industrial Ventilation System,"Eye Wash Station Access, Full Body Protective Suit, Lab Coat",Factory Floor,Container Leakage,HIGH RISK
Peracetic Acid (C₂H₄O₃),482,96,PVC (Polyvinyl Chloride),154,High,"Safety Boots, Chemical Suit, Face Shield, Full Body Protective Suit, Eye Wash Station Access",Hazardous Material Room,None,CRITICAL RISK
Propionic Acid (C₃H₆O₂),370,99,Stainless Steel,114,Low,"Face Shield, Eye Wash Station Access, Gloves",Hazardous Material Room,Fire Hazard,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),31,42,Carbon Steel (coated),40,High,Eye Wash Station Access,Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Periodic Acid (HIO₄),35,36,Stainless Steel,11,Good,"Full Body Protective Suit, Eye Wash Station Access, Face Shield, Chemical-resistant Gloves, Lab Coat",Outdoor Storage,Corrosion Damage,MEDIUM RISK
Iodic Acid (HIO₃),53,27,Fiber-Reinforced Plastic (FRP),24,Good,"Face Shield, Respirator Mask, Safety Boots, Eye Wash Station Access",Hazardous Material Room,Corrosion Damage,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),1,29,Ceramic Containers,3,Poor,"Full Body Protective Suit, Chemical-resistant Gloves, Respirator Mask, Safety Goggles, Gloves",Underground Storage,Acid Burn,LOW RISK
Malic Acid (C₄H₆O₅),8,27,PVC (Polyvinyl Chloride),11,Industrial Ventilation System,"Gloves, Eye Wash Station Access, Face Shield, Full Body Protective Suit, Safety Goggles",Cold Storage Unit,Corrosion Damage,LOW RISK
Peracetic Acid (C₂H₄O₃),135,109,Carbon Steel (coated),168,Moderate,"Respirator Mask, Chemical-resistant Gloves, Safety Boots, Safety Goggles, Chemical Suit",Laboratory,Acid Spill,CRITICAL RISK
Maleic Acid (C₄H₄O₄),48,29,Carbon Steel (coated),25,Industrial Ventilation System,"Lab Coat, Chemical Suit, Safety Goggles",Chemical Storage Room,Container Leakage,MEDIUM RISK
Chloric Acid (HClO₃),48,31,Carbon Steel (coated),25,Low,"Gloves, Safety Goggles, Chemical-resistant Gloves, Respirator Mask, Face Shield",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Maleic Acid (C₄H₄O₄),13,22,PVC (Polyvinyl Chloride),8,Good,"Chemical Suit, Face Shield, Respirator Mask, Safety Goggles, Chemical-resistant Gloves",Outdoor Storage,Acid Spill,LOW RISK
Periodic Acid (HIO₄),74,56,Ceramic Containers,30,Fume Hood Ventilation,"Face Shield, Safety Boots",Factory Floor,Acid Burn,HIGH RISK
Stearic Acid (C₁₈H₃₆O₂),50,32,HDPE Plastic,14,Moderate,"Chemical Suit, Full Body Protective Suit, Safety Goggles, Lab Coat",Cold Storage Unit,Fire Hazard,MEDIUM RISK
Silicic Acid (H₄SiO₄),22,38,Carbon Steel (coated),32,Poor,"Gloves, Lab Coat, Chemical-resistant Gloves, Chemical Suit",Warehouse,Fire Hazard,MEDIUM RISK
Lactic Acid (C₃H₆O₃),13,29,Carbon Steel (coated),6,High,Lab Coat,Hazardous Material Room,None,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),159,77,Ceramic Containers,91,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves, Safety Boots, Respirator Mask",Warehouse,Container Leakage,HIGH RISK
Benzoic Acid (C₇H₆O₂),23,36,Carbon Steel (coated),16,Poor,"Chemical-resistant Gloves, Safety Boots, Full Body Protective Suit, Eye Wash Station Access, Face Shield",Factory Floor,Toxic Gas Release,MEDIUM RISK
Selenic Acid (H₂SeO₄),138,44,PTFE (Teflon-lined),83,Poor,"Eye Wash Station Access, Chemical Suit",Underground Storage,Explosion Risk,HIGH RISK
Periodic Acid (HIO₄),88,74,HDPE Plastic,96,Moderate,"Eye Wash Station Access, Lab Coat",Warehouse,Toxic Gas Release,HIGH RISK
Fumaric Acid (C₄H₄O₄),323,90,Fiber-Reinforced Plastic (FRP),112,Industrial Ventilation System,"Chemical Suit, Safety Boots",Factory Floor,None,CRITICAL RISK
Malic Acid (C₄H₆O₅),150,45,Carbon Steel (coated),31,Low,"Face Shield, Gloves, Safety Boots, Chemical-resistant Gloves",Factory Floor,None,HIGH RISK
Ascorbic Acid (C₆H₈O₆),117,68,Ceramic Containers,31,Moderate,"Safety Boots, Lab Coat, Chemical-resistant Gloves, Safety Goggles, Full Body Protective Suit",Warehouse,Acid Spill,HIGH RISK
Valeric Acid (C₅H₁₀O₂),97,50,HDPE Plastic,62,Low,"Gloves, Full Body Protective Suit",Hazardous Material Room,Corrosion Damage,HIGH RISK
Malic Acid (C₄H₆O₅),393,87,Borosilicate Glass,174,High,"Face Shield, Lab Coat, Gloves",Hazardous Material Room,Acid Spill,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),13,16,PTFE (Teflon-lined),14,Moderate,"Eye Wash Station Access, Safety Boots, Chemical-resistant Gloves, Respirator Mask, Full Body Protective Suit",Warehouse,Acid Burn,LOW RISK
Benzoic Acid (C₇H₆O₂),13,25,Fiber-Reinforced Plastic (FRP),3,Poor,"Respirator Mask, Chemical-resistant Gloves, Safety Boots",Underground Storage,Acid Burn,LOW RISK
Boric Acid (H₃BO₃),275,114,Borosilicate Glass,148,Low,"Respirator Mask, Chemical-resistant Gloves, Lab Coat, Safety Boots",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Ascorbic Acid (C₆H₈O₆),71,68,Carbon Steel (coated),66,Good,"Safety Goggles, Gloves, Chemical-resistant Gloves",Outdoor Storage,Corrosion Damage,HIGH RISK
Hydrochloric Acid (HCl),265,96,Carbon Steel (coated),227,Industrial Ventilation System,"Eye Wash Station Access, Chemical Suit, Face Shield",Chemical Storage Room,Container Leakage,CRITICAL RISK
Selenic Acid (H₂SeO₄),1,28,Borosilicate Glass,12,Industrial Ventilation System,"Eye Wash Station Access, Safety Boots, Full Body Protective Suit, Gloves",Warehouse,Explosion Risk,LOW RISK
Chromic Acid (H₂CrO₄),203,110,PTFE (Teflon-lined),171,Good,"Eye Wash Station Access, Respirator Mask",Factory Floor,Fire Hazard,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),6,25,Carbon Steel (coated),10,Low,Respirator Mask,Chemical Storage Room,Acid Burn,LOW RISK
Acrylic Acid (C₃H₄O₂),1,30,Fiber-Reinforced Plastic (FRP),2,Low,"Face Shield, Chemical-resistant Gloves",Laboratory,Fire Hazard,LOW RISK
Carbonic Acid (H₂CO₃),28,40,PVC (Polyvinyl Chloride),13,Fume Hood Ventilation,"Chemical Suit, Respirator Mask, Safety Boots, Safety Goggles, Gloves",Factory Floor,Explosion Risk,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),395,92,PTFE (Teflon-lined),189,Good,"Chemical-resistant Gloves, Gloves",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Fumaric Acid (C₄H₄O₄),60,77,Glass,33,High,"Face Shield, Full Body Protective Suit, Safety Boots, Chemical Suit",Chemical Storage Room,Explosion Risk,HIGH RISK
Formic Acid (HCOOH),61,63,Carbon Steel (coated),37,Good,"Gloves, Chemical Suit, Safety Goggles",Underground Storage,Explosion Risk,HIGH RISK
Boric Acid (H₃BO₃),7,18,PTFE (Teflon-lined),0,High,"Gloves, Respirator Mask, Lab Coat, Face Shield",Outdoor Storage,None,LOW RISK
Fumaric Acid (C₄H₄O₄),34,29,PTFE (Teflon-lined),17,Moderate,"Eye Wash Station Access, Safety Boots, Chemical-resistant Gloves, Lab Coat, Safety Goggles",Laboratory,Acid Spill,MEDIUM RISK
Adipic Acid (C₆H₁₀O₄),142,54,PVC (Polyvinyl Chloride),60,Good,"Safety Boots, Chemical Suit",Laboratory,Acid Spill,HIGH RISK
Tartaric Acid (C₄H₆O₆),62,47,PTFE (Teflon-lined),67,Poor,Safety Goggles,Warehouse,Container Leakage,HIGH RISK
Lactic Acid (C₃H₆O₃),138,70,Borosilicate Glass,90,Low,"Safety Boots, Safety Goggles",Factory Floor,Toxic Gas Release,HIGH RISK
Sulfuric Acid (H₂SO₄),4,23,Carbon Steel (coated),4,Moderate,"Safety Goggles, Full Body Protective Suit, Lab Coat, Respirator Mask",Laboratory,None,LOW RISK
Succinic Acid (C₄H₆O₄),43,28,Fiber-Reinforced Plastic (FRP),39,Low,"Lab Coat, Safety Goggles, Chemical Suit",Cold Storage Unit,Acid Burn,MEDIUM RISK
Carbonic Acid (H₂CO₃),308,97,HDPE Plastic,153,Poor,"Eye Wash Station Access, Face Shield, Full Body Protective Suit",Laboratory,None,CRITICAL RISK
Periodic Acid (HIO₄),24,31,PTFE (Teflon-lined),10,Good,"Gloves, Safety Boots, Chemical Suit, Full Body Protective Suit",Outdoor Storage,Toxic Gas Release,MEDIUM RISK
Acetic Acid (CH₃COOH),105,61,Polypropylene,96,Good,"Full Body Protective Suit, Gloves",Cold Storage Unit,Container Leakage,HIGH RISK
Selenic Acid (H₂SeO₄),51,27,Polypropylene,24,Good,"Chemical Suit, Respirator Mask, Safety Goggles, Chemical-resistant Gloves, Face Shield",Warehouse,Acid Burn,MEDIUM RISK
Lactic Acid (C₃H₆O₃),80,63,PVC (Polyvinyl Chloride),65,High,"Face Shield, Chemical-resistant Gloves, Safety Boots",Hazardous Material Room,Explosion Risk,HIGH RISK
Sulfuric Acid (H₂SO₄),2,15,Ceramic Containers,6,Industrial Ventilation System,Respirator Mask,Chemical Storage Room,Toxic Gas Release,LOW RISK
Malic Acid (C₄H₆O₅),15,36,Fiber-Reinforced Plastic (FRP),10,Poor,"Lab Coat, Gloves, Face Shield, Full Body Protective Suit, Chemical-resistant Gloves",Factory Floor,Explosion Risk,MEDIUM RISK
Carbonic Acid (H₂CO₃),42,42,HDPE Plastic,18,Poor,Respirator Mask,Warehouse,None,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),11,18,Fiber-Reinforced Plastic (FRP),9,Moderate,"Safety Goggles, Eye Wash Station Access, Chemical Suit, Gloves",Laboratory,Corrosion Damage,LOW RISK
Propionic Acid (C₃H₆O₂),6,18,Polypropylene,7,Industrial Ventilation System,"Respirator Mask, Safety Boots, Chemical-resistant Gloves, Lab Coat, Face Shield",Warehouse,Corrosion Damage,LOW RISK
Tannic Acid (C₇₆H₅₂O₄₆),428,116,Fiber-Reinforced Plastic (FRP),167,Poor,"Eye Wash Station Access, Chemical-resistant Gloves, Lab Coat",Hazardous Material Room,Acid Burn,CRITICAL RISK
Boric Acid (H₃BO₃),137,58,PVC (Polyvinyl Chloride),70,Industrial Ventilation System,"Full Body Protective Suit, Lab Coat, Chemical-resistant Gloves, Eye Wash Station Access, Safety Goggles",Warehouse,Container Leakage,HIGH RISK
Fumaric Acid (C₄H₄O₄),137,44,Stainless Steel,82,Poor,"Full Body Protective Suit, Chemical Suit, Gloves, Eye Wash Station Access",Underground Storage,Acid Spill,HIGH RISK
Acetic Acid (CH₃COOH),38,31,Stainless Steel,36,Poor,"Full Body Protective Suit, Eye Wash Station Access, Safety Boots, Chemical Suit",Outdoor Storage,Explosion Risk,MEDIUM RISK
Citric Acid (C₆H₈O₇),154,52,Borosilicate Glass,80,High,Gloves,Chemical Storage Room,None,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),8,22,Stainless Steel,15,High,"Lab Coat, Safety Goggles, Full Body Protective Suit, Gloves, Chemical Suit",Underground Storage,Corrosion Damage,LOW RISK
Bromic Acid (HBrO₃),8,21,Stainless Steel,3,Industrial Ventilation System,"Chemical-resistant Gloves, Chemical Suit, Gloves, Safety Goggles",Hazardous Material Room,Container Leakage,LOW RISK
Lactic Acid (C₃H₆O₃),86,68,HDPE Plastic,35,Good,"Chemical-resistant Gloves, Chemical Suit, Gloves, Safety Goggles, Face Shield",Outdoor Storage,Toxic Gas Release,HIGH RISK
Sulfuric Acid (H₂SO₄),69,63,Carbon Steel (coated),62,Moderate,Gloves,Chemical Storage Room,Fire Hazard,HIGH RISK
Succinic Acid (C₄H₆O₄),316,112,Fiber-Reinforced Plastic (FRP),210,High,"Safety Goggles, Gloves",Hazardous Material Room,Fire Hazard,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),75,61,Glass,80,Fume Hood Ventilation,"Safety Goggles, Chemical-resistant Gloves, Eye Wash Station Access",Hazardous Material Room,Explosion Risk,HIGH RISK
Caproic Acid (C₆H₁₂O₂),69,54,Stainless Steel,50,Poor,"Chemical-resistant Gloves, Chemical Suit, Full Body Protective Suit, Safety Goggles",Underground Storage,Fire Hazard,HIGH RISK
Valeric Acid (C₅H₁₀O₂),61,74,Fiber-Reinforced Plastic (FRP),86,Industrial Ventilation System,"Chemical-resistant Gloves, Respirator Mask",Warehouse,Acid Spill,HIGH RISK
Benzoic Acid (C₇H₆O₂),5,30,HDPE Plastic,3,Fume Hood Ventilation,"Face Shield, Safety Boots, Lab Coat",Factory Floor,Acid Spill,LOW RISK
Succinic Acid (C₄H₆O₄),10,30,Carbon Steel (coated),8,Low,"Gloves, Chemical-resistant Gloves, Full Body Protective Suit, Lab Coat",Outdoor Storage,Corrosion Damage,LOW RISK
Picric Acid (C₆H₃N₃O₇),8,22,Polypropylene,3,Good,"Respirator Mask, Face Shield, Safety Boots, Chemical Suit, Chemical-resistant Gloves",Warehouse,None,LOW RISK
Bromic Acid (HBrO₃),55,38,HDPE Plastic,33,Fume Hood Ventilation,"Safety Boots, Face Shield",Underground Storage,Fire Hazard,MEDIUM RISK
Thiocyanic Acid (HSCN),392,82,Borosilicate Glass,203,Poor,"Safety Goggles, Full Body Protective Suit, Chemical-resistant Gloves, Respirator Mask, Lab Coat",Underground Storage,Fire Hazard,CRITICAL RISK
Iodic Acid (HIO₃),139,75,Polypropylene,92,Good,"Chemical Suit, Full Body Protective Suit",Laboratory,Acid Burn,CRITICAL RISK
Oxalic Acid (C₂H₂O₄),6,25,Fiber-Reinforced Plastic (FRP),1,Moderate,"Safety Goggles, Safety Boots, Eye Wash Station Access, Face Shield, Gloves",Warehouse,Corrosion Damage,LOW RISK
Valeric Acid (C₅H₁₀O₂),141,112,PTFE (Teflon-lined),148,Poor,Respirator Mask,Chemical Storage Room,Fire Hazard,CRITICAL RISK
Hydrochloric Acid (HCl),106,75,Stainless Steel,49,Good,"Face Shield, Chemical Suit, Safety Boots, Lab Coat, Full Body Protective Suit",Factory Floor,None,HIGH RISK
Perchloric Acid (HClO₄),4,25,HDPE Plastic,9,Good,"Safety Goggles, Face Shield, Respirator Mask",Warehouse,None,LOW RISK
Bromic Acid (HBrO₃),21,43,Glass,20,Fume Hood Ventilation,"Chemical-resistant Gloves, Face Shield, Eye Wash Station Access, Chemical Suit",Chemical Storage Room,None,MEDIUM RISK
Perchloric Acid (HClO₄),267,107,Carbon Steel (coated),161,High,Chemical-resistant Gloves,Outdoor Storage,None,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),413,105,Stainless Steel,158,Poor,"Chemical Suit, Safety Boots, Lab Coat, Eye Wash Station Access, Chemical-resistant Gloves",Factory Floor,Acid Spill,CRITICAL RISK
Hydrochloric Acid (HCl),7,25,HDPE Plastic,12,Good,"Safety Boots, Face Shield, Gloves",Cold Storage Unit,Corrosion Damage,LOW RISK
Trifluoroacetic Acid (CF₃COOH),36,25,Fiber-Reinforced Plastic (FRP),26,Industrial Ventilation System,"Chemical-resistant Gloves, Safety Boots, Gloves, Safety Goggles, Chemical Suit",Chemical Storage Room,Corrosion Damage,MEDIUM RISK
Bromic Acid (HBrO₃),374,96,PVC (Polyvinyl Chloride),187,Poor,"Safety Boots, Safety Goggles, Chemical-resistant Gloves, Gloves, Chemical Suit",Warehouse,Corrosion Damage,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),32,34,Fiber-Reinforced Plastic (FRP),37,Low,"Eye Wash Station Access, Gloves",Factory Floor,Acid Burn,MEDIUM RISK
Butyric Acid (C₄H₈O₂),3,27,Stainless Steel,5,Moderate,"Safety Boots, Eye Wash Station Access",Cold Storage Unit,Corrosion Damage,LOW RISK
Palmitic Acid (C₁₆H₃₂O₂),79,41,Fiber-Reinforced Plastic (FRP),55,Good,"Gloves, Respirator Mask, Face Shield, Safety Goggles",Underground Storage,Corrosion Damage,HIGH RISK
Lactic Acid (C₃H₆O₃),109,78,PVC (Polyvinyl Chloride),89,Good,"Face Shield, Safety Boots, Eye Wash Station Access, Respirator Mask, Chemical Suit",Cold Storage Unit,Acid Burn,HIGH RISK
Malic Acid (C₄H₆O₅),48,45,Stainless Steel,40,High,"Chemical Suit, Chemical-resistant Gloves, Safety Boots, Eye Wash Station Access, Lab Coat",Chemical Storage Room,Acid Spill,HIGH RISK
Oxalic Acid (C₂H₂O₄),7,22,PVC (Polyvinyl Chloride),4,High,"Chemical Suit, Safety Goggles, Chemical-resistant Gloves, Full Body Protective Suit",Warehouse,Acid Burn,LOW RISK
Butyric Acid (C₄H₈O₂),498,79,Stainless Steel,153,Low,"Safety Goggles, Lab Coat, Gloves",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),377,111,Glass,185,High,"Respirator Mask, Safety Boots, Eye Wash Station Access, Chemical Suit, Full Body Protective Suit",Warehouse,Container Leakage,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),13,22,Stainless Steel,7,Moderate,"Chemical-resistant Gloves, Gloves, Eye Wash Station Access, Chemical Suit, Face Shield",Chemical Storage Room,None,LOW RISK
Acetic Acid (CH₃COOH),145,54,Carbon Steel (coated),44,Industrial Ventilation System,"Chemical Suit, Chemical-resistant Gloves, Respirator Mask, Safety Goggles",Hazardous Material Room,Acid Spill,HIGH RISK
Butyric Acid (C₄H₈O₂),20,35,Stainless Steel,40,Industrial Ventilation System,"Respirator Mask, Gloves, Chemical Suit, Safety Goggles",Laboratory,Acid Burn,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),69,47,Glass,41,Moderate,Chemical-resistant Gloves,Underground Storage,Fire Hazard,HIGH RISK
Maleic Acid (C₄H₄O₄),24,35,Carbon Steel (coated),11,Poor,"Full Body Protective Suit, Gloves",Chemical Storage Room,None,MEDIUM RISK
Propionic Acid (C₃H₆O₂),38,37,Ceramic Containers,29,Industrial Ventilation System,"Safety Boots, Safety Goggles, Chemical Suit, Lab Coat, Gloves",Factory Floor,Acid Spill,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),463,99,Carbon Steel (coated),125,Good,Face Shield,Underground Storage,None,CRITICAL RISK
Acetic Acid (CH₃COOH),46,48,PTFE (Teflon-lined),76,Moderate,"Lab Coat, Safety Goggles, Face Shield",Underground Storage,Fire Hazard,HIGH RISK
Salicylic Acid (C₇H₆O₃),25,34,Carbon Steel (coated),35,Good,"Face Shield, Chemical Suit",Warehouse,None,MEDIUM RISK
Trifluoroacetic Acid (CF₃COOH),1,19,Fiber-Reinforced Plastic (FRP),13,Good,"Full Body Protective Suit, Respirator Mask, Eye Wash Station Access, Safety Goggles, Safety Boots",Laboratory,Explosion Risk,LOW RISK
Hydrochloric Acid (HCl),53,25,Stainless Steel,34,Poor,"Safety Boots, Gloves",Underground Storage,None,MEDIUM RISK
Malic Acid (C₄H₆O₅),6,30,Polypropylene,10,Low,"Chemical Suit, Safety Boots, Gloves, Chemical-resistant Gloves",Cold Storage Unit,Container Leakage,LOW RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),13,22,Stainless Steel,8,Fume Hood Ventilation,"Full Body Protective Suit, Chemical Suit",Outdoor Storage,Container Leakage,LOW RISK
Thiocyanic Acid (HSCN),142,55,PVC (Polyvinyl Chloride),83,Good,"Chemical Suit, Respirator Mask, Gloves, Safety Goggles, Full Body Protective Suit",Cold Storage Unit,Acid Spill,HIGH RISK
Caproic Acid (C₆H₁₂O₂),327,83,Fiber-Reinforced Plastic (FRP),122,Fume Hood Ventilation,"Chemical Suit, Respirator Mask, Chemical-resistant Gloves, Face Shield, Lab Coat",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Salicylic Acid (C₇H₆O₃),5,30,Carbon Steel (coated),11,Good,"Safety Goggles, Face Shield, Chemical-resistant Gloves, Chemical Suit",Cold Storage Unit,Explosion Risk,LOW RISK
